ekf_x,ekf_y,ekf_yaw,stamp
89662.42708453306,43122.2356491229,-2.5398522358839664,1756667195476929665
89662.3740229304,43122.19922692558,-2.537308934950877,1756667195502302712
89662.29595850338,43122.14533969401,-2.533732470085633,1756667195521310684
89662.27030014958,43122.12748818883,-2.5325245746995586,1756667195540475303
89662.21902660749,43122.0917232211,-2.5301087840481986,1756667195560135705
89662.20258598196,43122.06732974496,-2.525951608517468,1756667195585951619
89662.15067648566,43122.030611624345,-2.5234775395373554,1756667195600839569
89662.0970555847,43121.99250370849,-2.521204029021326,1756667195622749817
89662.078838752,43121.97372854814,-2.518690273492556,1756667195640676336
89662.02645250011,43121.93609951694,-2.5163130301607057,1756667195657397292
89661.97163117668,43121.89654979671,-2.5141550850911942,1756667195676144353
89661.91848625813,43121.85800924005,-2.511882920335793,1756667195695774599
89661.86406042925,43121.818352091665,-2.5095103350088483,1756667195714375070
89661.84407477554,43121.79584761508,-2.506712106113646,1756667195733068176
89661.79056242322,43121.75642952962,-2.504377505404553,1756667195751063841
89661.73471042582,43121.71510313977,-2.5021237716377325,1756667195769339859
89661.71689152987,43121.69739676515,-2.5001214549726423,1756667195806286451
89661.66136273244,43121.65594267369,-2.4981268705726167,1756667195827399659
89661.60661042787,43121.61488146733,-2.4960184980618045,1756667195828570312
89661.55194481452,43121.573704912,-2.4939101254455736,1756667195861992544
89661.46822680374,43121.510437289406,-2.4916630093159857,1756667195884188670
89661.4406899849,43121.48950673542,-2.490786723728757,1756667195901686222
89661.3838478337,43121.44624866466,-2.48958618452788,1756667195925435444
89661.32804748898,43121.40365206149,-2.4881923905850383,1756667195941920399
89661.27230657211,43121.36097772767,-2.4867985967118864,1756667195959516824
89661.27813691115,43121.3281683266,-2.4823836434864566,1756667195985987137
89661.22198079016,43121.28465641574,-2.4814713271047633,1756667195997995908
89661.1634783514,43121.23929168566,-2.481185010587503,1756667196017459867
89661.10645568305,43121.194998854626,-2.480574779088422,1756667196033557920
89661.04946005705,43121.15067123703,-2.479964547619853,1756667196052599179
89660.99070788437,43121.10495907511,-2.479875955864162,1756667196072698768
89660.9330251357,43121.060032328896,-2.4795156691875184,1756667196090668066
89660.87347246056,43121.013637732845,-2.4796457758992285,1756667196113288586
89660.86173237239,43120.987700833764,-2.478292908951784,1756667196129858605
89660.80331541259,43120.9420534816,-2.4782375213177956,1756667196147037466
89660.76594946884,43120.907409806234,-2.478483779959513,1756667196187449226
89660.7068500155,43120.86124731504,-2.4786329333405273,1756667196201896766
89660.64617464712,43120.81388455366,-2.479013008696562,1756667196223580208
89660.5864434951,43120.76727952065,-2.4792735933549146,1756667196242292670
89660.52670019759,43120.720690051916,-2.479534178026297,1756667196260856663
89660.46449648392,43120.672263493645,-2.48056756882668,1756667196282133702
89660.3734658602,43120.60146453944,-2.4815138829750505,1756667196303918372
89660.34165440309,43120.57677904705,-2.4820184673331975,1756667196323406887
89660.32895866399,43120.5197522037,-2.477377778622754,1756667196342898774
89660.26791641858,43120.47196340325,-2.4780959059726926,1756667196358575362
89660.26328401438,43120.39990827237,-2.471180210859151,1756667196379490169
89660.20143031259,43120.35086288174,-2.4719806048081145,1756667196393992639
89660.13776145712,43120.3005708389,-2.47476466108365,1756667196413604240
89660.07492630003,43120.25111302733,-2.476780305596122,1756667196433417859
89660.01199158444,43120.20178197194,-2.4787959500078114,1756667196453304787
89659.94555910156,43120.150078556675,-2.482997378995177,1756667196473149698
89659.88103710851,43120.10014779189,-2.4860671297827532,1756667196491371052
89659.81636214147,43120.050415326004,-2.4891368807238172,1756667196510524204
89659.74911024637,43119.9991634776,-2.493814206667963,1756667196534581119
89659.65036197327,43119.924440176364,-2.499343500683922,1756667196564158553
89659.63719861476,43119.87954283398,-2.499425739280517,1756667196584433145
89659.5704297494,43119.829605237544,-2.503883020177336,1756667196600912936
89659.50076159135,43119.77803093819,-2.5092290160601034,1756667196620893526
89659.43247245676,43119.72799267901,-2.5141100803176766,1756667196637772493
89659.36393989323,43119.67828833574,-2.518991144819303,1756667196656027948
89659.29319586944,43119.62753260233,-2.524426702411542,1756667196676926417
89659.28101630976,43119.59874080981,-2.5275639694108345,1756667196696140218
89659.2093554565,43119.54822266705,-2.532924287946492,1756667196714115464
89659.19557472781,43119.48946934013,-2.5329697667225632,1756667196730876947
89659.12433665698,43119.43982559332,-2.5383128969498494,1756667196749051901
89659.09804107559,43119.377087023495,-2.5391918752925617,1756667196785896608
89659.0259676021,43119.3275244699,-2.544694193061388,1756667196800783674
89658.95099994165,43119.27657044596,-2.5503408303842052,1756667196820561937
89658.87730933748,43119.22709677111,-2.555913259211836,1756667196836322846
89658.80334419402,43119.17803450036,-2.561485687760845,1756667196854160920
89658.72728567202,43119.12815045342,-2.566753186095934,1756667196874207101
89658.65203699372,43119.079403037635,-2.5721794789684798,1756667196889524026
89658.57515212458,43119.03017893345,-2.5777171689787735,1756667196910480866
89658.49877870064,43118.981883319255,-2.583212722869584,1756667196926198513
89658.42214101632,43118.93400814411,-2.5887082770351717,1756667196962789223
89658.41664634422,43118.885963252884,-2.5894641165068193,1756667196988802852
89658.33882275742,43118.83802098988,-2.595093853518729,1756667197002154759
89658.25887597694,43118.78942780735,-2.6013635177303174,1756667197022025467
89658.17971966822,43118.741954512996,-2.6073020511797447,1756667197040233545
89658.10028283119,43118.69495212301,-2.6132405849260985,1756667197059170858
89658.0177040406,43118.64695832695,-2.6216589287041043,1756667197078961685
89657.93675854315,43118.60061914786,-2.6285483964612206,1756667197095687055
89657.85418179132,43118.554139957545,-2.6361321168381036,1756667197115232493
89657.77187609846,43118.50859083572,-2.6434650213053423,1756667197135261502
89657.68923861407,43118.46364647289,-2.650797925772581,1756667197152847834
89657.60448473365,43118.41834720688,-2.65844553000908,1756667197172955330
89657.52045630729,43118.374264421545,-2.6659715864942943,1756667197189536963
89657.4348335574,43118.33018881056,-2.674298580027295,1756667197210332399
89657.34949332377,43118.28712899383,-2.6823289862356963,1756667197241454823
89657.26381006198,43118.244755876985,-2.6903593920425775,1756667197260643676
89657.26614437244,43118.17179053261,-2.6893985400344773,1756667197292584169
89657.17957272024,43118.12973713761,-2.697246430194741,1756667197302072786
89657.09053759594,43118.0873575991,-2.705460694724047,1756667197319037799
89657.00248420388,43118.046319104,-2.713485380901732,1756667197335988094
89656.91410433385,43118.005988525525,-2.7215100666781824,1756667197355500204
89656.82367278518,43117.96555332073,-2.729259069639639,1756667197376788542
89656.73395632728,43117.926310585346,-2.7371516612848352,1756667197394446185
89656.64192969869,43117.88687396584,-2.7445902639604536,1756667197415581467
89656.59661897834,43117.87251084761,-2.75160730423694,1756667197437056898
89656.50517482388,43117.83492384453,-2.7592176312112024,1756667197451951492
89656.41161602717,43117.79724116397,-2.766348368284547,1756667197473673933
89656.31885809818,43117.76070300519,-2.7737273358494767,1756667197488524121
89656.22375945044,43117.72401954449,-2.7808956626857637,1756667197509494205
89656.12957593522,43117.68849363552,-2.7881436171164395,1756667197545101821
89656.08833652163,43117.67380100156,-2.7940341977359755,1756667197566521589
89655.99288590936,43117.639222672995,-2.801189066464876,1756667197582337976
89655.89719033417,43117.60532815858,-2.8083439355515205,1756667197600039173
89655.75179576867,43117.55501667756,-2.819620638579117,1756667197620763610
89655.6919477478,43117.52296767694,-2.8226982029087293,1756667197639313532
89655.59501443026,43117.49096389225,-2.8301113518860026,1756667197657776203
89655.49523428352,43117.45901601149,-2.8401258234006814,1756667197674610689
89655.39677174787,43117.42839966007,-2.8487791183616684,1756667197690764321
89655.36322321539,43117.40076717365,-2.854434245630765,1756667197714999590
89655.26361845141,43117.37135181867,-2.8632535553281904,1756667197728780492
89655.16375814629,43117.342816042954,-2.8720728645846503,1756667197748342880
89655.06124628289,43117.31446936979,-2.8808758324101063,1756667197768395936
89654.95996425064,43117.28744841368,-2.8896872582645106,1756667197804181783
89654.85726023365,43117.2610036304,-2.8984934853468967,1756667197824597235
