#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0,89656.3124028,43129.1596191,2.9625697,-0.0940589,8.333,0.0
0.9989273,89656.0795951,43128.1542065,2.8655279,-0.0940706,8.333,0.0
1.9978546,89655.7650389,43127.2140057,2.7717306,-0.0953825,8.333,0.0
2.9967818,89655.3728263,43126.3282226,2.6755859,-0.1102118,8.333,0.0
3.9957091,89654.8834313,43125.4811003,2.5571405,-0.1266398,8.333,0.0
4.9946364,89654.2710646,43124.6712756,2.4337306,-0.1118898,8.333,0.0
5.9935637,89653.5787358,43123.9435283,2.3307328,-0.0987756,8.333,0.0
6.9924909,89652.8052059,43123.2816196,2.2232413,-0.1179131,8.333,0.0
7.9914182,89651.9815621,43122.7349623,2.0807243,-0.1649711,8.333,0.0
8.9903455,89651.0691829,43122.310556,1.9436333,-0.0943338,8.333,0.0
9.9892728,89650.1454996,43121.9792457,1.9050197,0.0161294,8.333,0.0
10.9882,89649.2406594,43121.6535471,1.9185585,-0.0215216,8.333,0.0
11.9871273,89648.298088,43121.3358238,1.8622816,-0.0878848,8.333,0.0
12.9860546,89647.2972718,43121.0936575,1.7467366,-0.1270156,8.333,0.0
13.9849819,89645.8916082064,43121.088358427936,1.6284335,-0.1205568,8.333,0.0
14.9839091,89644.71698512361,43121.0782431819,1.5082578,-0.1188395,8.333,0.0
15.9828364,89643.57094211681,43121.17584156787,1.3848191,-0.1157389,8.333,0.0
16.9817637,89642.451095464,43121.36771111384,1.2821738,-0.0923886,8.333,0.0
17.980691,89641.589460466,43121.65272424783,1.1963022,-0.0793428,8.333,0.0
18.9796182,89640.75775743401,43122.00863196584,1.1201963,-0.0746147,8.333,0.0
19.9785455,89639.956180444,43122.41447503183,1.0502235,-0.0556522,8.333,0.0
20.9774728,89639.173767208,43122.85756403984,1.0077383,-0.0270697,8.333,0.0
21.9764001,89638.405314826,43123.32220565384,0.9989257,0.0109909,8.333,0.0
22.9753273,89637.653499268,43123.79286778184,1.0123717,0.0084245,8.333,0.0
23.9742546,89636.91058955199,43124.26486761584,1.0138906,-0.0055032,8.333,0.0
24.9731819,89636.16054172,43124.74776596383,1.0026158,-0.0162302,8.333,0.0
25.9721092,89635.415078218,43125.24142697983,0.9836834,-0.0225073,8.333,0.0
26.9710364,89634.678737728,43125.75100715984,0.9579627,-0.0279271,8.333,0.0
27.9699637,89633.95246885,43126.28235547783,0.9274585,-0.0313901,8.333,0.0
28.968891,89633.23755210401,43126.83952339184,0.8951747,-0.0338162,8.333,0.0
29.9678183,89632.54447024,43127.41900295384,0.8593709,-0.0374763,8.333,0.0
30.9667455,89631.79536280481,43128.211671323865,0.819653,-0.0398367,8.333,0.0
31.9656728,89631.05545334962,43129.0441461239,0.7804695,-0.0384343,8.333,0.0
32.9646001,89630.3277082464,43129.91521394394,0.7427099,-0.0372722,8.333,0.0
33.9635274,89629.5217275,43130.9751972,0.7061887,-0.0352764,8.333,0.0
34.9624546,89628.8851452,43131.7475364,0.6733129,-0.0303474,8.333,0.0
35.9613819,89628.31999602568,43132.60298492856,0.6456322,-0.0251043,8.333,0.0
36.9603092,89627.75484685134,43133.45843345711,0.6232332,-0.0203001,8.333,0.0
37.9592365,89627.18969767702,43134.31388198568,0.6042572,-0.017675,8.333,0.0
38.9581637,89626.6245485027,43135.16933051423,0.587903,-0.015072,8.333,0.0
39.957091,89626.05939932837,43136.02477904279,0.5741429,-0.0125072,8.333,0.0
40.9560183,89625.49425015405,43136.88022757135,0.5628702,-0.0100318,8.333,0.0
41.9549456,89624.92910097973,43137.7356760999,0.5540931,-0.0075417,8.333,0.0
42.9538728,89624.3639518054,43138.59112462847,0.5478103,-0.005124,8.333,0.0
43.9528001,89623.79880263108,43139.44657315702,0.5436141,-0.0032606,8.333,0.0
44.9517274,89623.23365345676,43140.30202168558,0.5412938,-0.0013825,8.333,0.0
45.9506547,89622.66850428242,43141.15747021414,0.5408571,0.0004768,8.333,0.0
46.9495819,89622.1033551081,43142.01291874269,0.5421214,0.0020536,8.333,0.0
47.9485092,89621.53820593379,43142.86836727126,0.5449631,0.0036391,8.333,0.0
48.9474365,89620.97305675945,43143.72381579981,0.5493844,0.0051959,8.333,0.0
49.9463638,89620.40790758513,43144.57926432837,0.5552298,0.0065004,8.333,0.0
50.945291,89619.84275841081,43145.43471285693,0.5623781,0.0078139,8.333,0.0
51.9442183,89619.27760923648,43146.29016138549,0.5708204,0.0088371,8.333,0.0
52.9431456,89618.71246006216,43147.14560991405,0.5788773,0.0073013,8.333,0.0
53.9420729,89618.14731088784,43148.001058442605,0.5853849,0.0057283,8.333,0.0
54.9410001,89617.58216171351,43148.85650697116,0.5903186,0.0041635,8.333,0.0
55.9399274,89617.01701253919,43149.71195549972,0.5937772,0.0027963,8.333,0.0
56.9388547,89616.45186336487,43150.56740402828,0.5958935,0.0014459,8.333,0.0
