steer,stamp
0.0,1759219277777440754
5.370243798097363e-06,1759219277777520886
0.0,1759219277777594798
0.0,1759219277777636981
0.0,1759219277777647709
5.370243798097363e-06,1759219277777658474
0.0,1759219277777668210
-5.370243798097363e-06,1759219277777678900
5.370243798097363e-06,1759219277781236416
0.0,1759219277786176778
0.0,1759219277791193460
5.370243798097363e-06,1759219277796224252
0.0,1759219277801304249
5.370243798097363e-06,1759219277806180265
0.0,1759219277811178308
0.0,1759219277816204718
0.0,1759219277821213448
0.0,1759219277826195054
0.0,1759219277831172206
0.0,1759219277836286603
-5.370243798097363e-06,1759219277841160684
-5.370243798097363e-06,1759219277846204042
0.0,1759219277851193544
-5.370243798097363e-06,1759219277856182669
0.0,1759219277861143095
0.0,1759219277866168635
5.370243798097363e-06,1759219277871232820
0.0,1759219277876172379
0.0,1759219277881197031
5.370243798097363e-06,1759219277886173068
0.0,1759219277891158708
0.0,1759219277896160185
5.370243798097363e-06,1759219277901231553
0.0,1759219277906168926
0.0,1759219277911186861
5.370243798097363e-06,1759219277916213002
0.0,1759219277921223948
5.370243798097363e-06,1759219277926199999
5.370243798097363e-06,1759219277931172666
5.370243798097363e-06,1759219277936213132
5.370243798097363e-06,1759219277941277579
0.0,1759219277946188525
0.0,1759219277951159439
0.0,1759219277956214941
0.0,1759219277961143573
0.0,1759219277966223602
0.0,1759219277971230583
0.0,1759219277976164478
0.0,1759219277981165141
0.0,1759219277986197079
5.370243798097363e-06,1759219277991291692
1.0740487596194725e-05,1759219277996175880
0.0,1759219278001169248
0.0,1759219278006185217
0.0,1759219278011173021
0.0,1759219278016212575
5.370243798097363e-06,1759219278021239139
0.0,1759219278026180449
0.0,1759219278031178024
0.0,1759219278036172582
-5.370243798097363e-06,1759219278041176358
-5.370243798097363e-06,1759219278046220847
0.0,1759219278051183172
5.370243798097363e-06,1759219278056184679
5.370243798097363e-06,1759219278061177784
0.0,1759219278066189105
0.0,1759219278071168233
5.370243798097363e-06,1759219278076198789
5.370243798097363e-06,1759219278081171866
5.370243798097363e-06,1759219278086181067
0.0,1759219278091167347
0.0,1759219278096174666
0.0,1759219278101155014
0.0,1759219278106289207
5.370243798097363e-06,1759219278111175668
0.0,1759219278116181214
0.0,1759219278121186135
0.0,1759219278126290804
0.0,1759219278131149283
0.0,1759219278136178389
5.370243798097363e-06,1759219278141179735
5.370243798097363e-06,1759219278146136936
5.370243798097363e-06,1759219278151177901
5.370243798097363e-06,1759219278156202099
5.370243798097363e-06,1759219278161435376
5.370243798097363e-06,1759219278166182918
0.0,1759219278171164741
0.0,1759219278176177701
0.0,1759219278181195730
-5.370243798097363e-06,1759219278186160727
5.370243798097363e-06,1759219278191184328
0.0,1759219278196162004
5.370243798097363e-06,1759219278201146991
0.0,1759219278206170561
0.0,1759219278211155769
0.0,1759219278216170253
5.370243798097363e-06,1759219278221152585
5.370243798097363e-06,1759219278226173088
5.370243798097363e-06,1759219278231185796
-5.370243798097363e-06,1759219278236169647
0.0,1759219278241153684
0.0,1759219278246188613
0.0,1759219278251170788
-5.370243798097363e-06,1759219278256211569
0.0,1759219278261144814
