sec_x,sec_y
89656.312,43129.160
89639.956,43122.414
89634.679,43125.751
89627.755,43133.458
89620.973,43143.724
89615.322,43152.278
89612.487,43157.899
89612.514,43161.376
89615.396,43165.142
89620.350,43166.242
89623.815,43164.428
89628.178,43158.075
89631.733,43148.746
89635.677,43140.799
89639.019,43137.325
89645.719,43137.871
89647.689,43142.297
89645.790,43147.203
89641.340,43153.460
89636.374,43160.210
89632.649,43165.273
89627.694,43171.379
89622.614,43175.752
89620.445,43181.800
89623.630,43186.722
89628.367,43188.211
89634.578,43185.468
89639.496,43182.014
89649.959,43185.056
89657.503,43187.109
89661.255,43184.525
89662.244,43181.124
89655.957,43175.141
89648.607,43172.014
89645.586,43168.704
89646.634,43164.026
89649.853,43160.990
89656.146,43159.683
89662.726,43164.242
89667.034,43171.183
89674.195,43169.101
89678.051,43164.593
89679.699,43155.906
89675.264,43149.590
89667.607,43147.658
89659.057,43145.318
89656.232,43139.128
